# 引用路径	状态	是什么	为什么	出处	何时消除
原版资源/cs16src/cs16game/app/cstrike/models/v_*.mdl	不可得	原版模型	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/models/player/terror/terror.mdl	不可得	原版模型	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/models/	不可得	原版载体目录	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
cs16_build.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/cs_dust.wad	不可得	原版 WAD3 容器	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/gfx/env/	不可得	原版载体目录	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/解包产物/tex_*.png	不可得	原版载体	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/sprites/weapon_<id>.txt	不可得	原版文本数据	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/sprites/observer.txt	不可得	原版文本数据	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cstrike/resource/UI/*.res	部分已在盘	原版 VGUI 买枪面板	买枪那一批（`BuyMenu.res` + `MainBuyMenu.res` + 13 份 `Buy*_{CT,TER}.res`）**已在盘**；同目录的 `scoreboard.res` / `teammenu.res` / `spectator.res` / `csprogressbar.res` 仍不在盘（不在本片范围）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16-maps/screenshots_to_conv/*.bmp	不可得	原版实机截图	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cstrike/resource/UI/mainbuymenu.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/mainbuymenu.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buypistols_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cs16game/app/cstrike/resource/ui/scoreboard.res	不可得	原版 VGUI 面板	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
scoreboard.res	不可得	原版 VGUI 面板	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/resource/ui/teammenu.res	不可得	原版 VGUI 面板	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/valve/resource/backgroundlayout.txt	不可得	原版文本数据	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/resource/ui/spectator.res	不可得	原版 VGUI 面板	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/resource/ui/csprogressbar.res	不可得	原版 VGUI 面板	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/解包产物/cs16_asset_extract.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/settings.scr	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
settings.scr	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
listenserver.cfg	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cstrike/resource/UI/Buy*.res	已在盘	原版 VGUI 买枪面板	13 份 `Buy*_{CT,TER}.res` + `BuyMenu.res` **已在盘**（本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源））	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buypistols_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buypistols_ter.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buysubmachineguns_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buysubmachineguns_ter.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buyrifles_ter.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buyrifles_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buyshotguns_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buymachineguns_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
原版资源/cs16src/cstrike/resource/UI/buyequipment_ct.res	已在盘	原版 VGUI 买枪面板	本片（片BUYMENU-ORIGINAL 2026-09-25）取回并落盘：14 份买枪 .res 在 `原版资源/cs16src/cstrike/resource/UI/`、32 张条目图标在 `原版资源/cs16src/cstrike/gfx/vgui/`（同一批件，表内下面几条同源）	原版资源/清单.md:5-6、25-31；client/资源欠缺清单.md:76	—（已在盘，无需消除）
server.cfg	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16-maps/screenshots/*.jpg	不可得	原版实机截图	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/addons/amxmodx/scripting/include/cstrike.inc	不可得	原版脚本头	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/valve/halflife.wad	不可得	原版 WAD3 容器	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/解包产物/dust2_build.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/hw.dll	不可得	原版可执行	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
# 切片AY（2026-09-22）删除两行：`common/ref_params.h` 与 `HLSDK/common/ref_params.h`。
# 原因 = 该载体已真落盘到 `原版资源/hlsdk/common/ref_params.h`（见 `原版资源/清单.md` 的「切片AY」节）
# ⇒ 登记行的「何时消除」条件已达成 ⇒ 按 reference-table-refs 的 stale 规则必须删除，留在表里就是静音器。
dust2_build.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
in_camera.cpp:619,624	不可得	GoldSrc SDK 源码	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/spectatormenu.txt	不可得	原版文本数据	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16-maps/screenshots/	不可得	原版载体目录	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/解包产物/	不可得	原版载体目录	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
# ---- 切片BB（2026-09-22）：差异登记.tsv 里实测不在盘的载体（闸门 reference-table-refs 现在也扫差异登记） ----
原版资源/cs16-maps/screenshots_to_conv/	不可得	原版实机采集目录（31 张 1920×1080 HUD BMP 的来源目录）	原版资源/ 本机已被清理，不在盘（实测只剩 cs16src/ · hlsdk/ · 备份/ · _moved-out-from-assets/）	策划/差异登记.tsv #23；原版资源/清单.md:5-6、:25-31	用户补回那批原版采集 BMP（或 CS 1.6 客户端本体），或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
teammenu.res	不可得	原版 VGUI 选阵营面板定义（#25/#26/#38 按 basename 引用）	该件属 cstrike/resource/ui/；片AL/AM/AW 取回的 repack 里 cstrike/resource/ 只有子页 .res、无 ui/ 目录 ⇒ 本机不在盘	策划/差异登记.tsv #25/#26/#38；原版资源/清单.md「切片AW」§4（resource 目录枚举）	拿到含 resource/ui/ 的原版客户端（或完整 cstrike ISO）后把引用改成完整路径
gameui_english.txt	不可得	原版 GameUI 文案表（页签 / 音质档位文案出处，#28/#36 引用）	GameUI 静态库资源，片AL/AM 未取到；期望位置 platform/resource/gameui_english.txt，本机不在盘（实测 Test-Path False）	策划/差异登记.tsv #28/#36；原版资源/清单.md:85-95	用户补回 CS 1.6 客户端本体，或从公开 repack 的 platform/resource/ 取回后按原样引用
optionssubaudio.res	不可得	原版选项子页（Audio）定义（HEV suit 音量滑杆落点出处，#32 引用）	同 #28/#29 的缺件：片AL/AM/AW 取回的 repack 只有 OptionsSubMultiplayer.res，没有 Audio 子页 ⇒ 本机不在盘	策划/差异登记.tsv #32	拿到含全部 OptionsSub*.res 的原版载体后按原样引用
原版资源/cs16src/cstrike/cstrike__resource__UI__Classmenu_CT.res（同批 cstrike__resource__UI__Classmenu_TER.res）	已在盘	原版选兵种面板定义（classmenu_ct.res / classmenu_ter.res，#36 登记「未做」）	本机已在盘（扁平名，非本片取回）：`原版资源/cs16src/cstrike/cstrike__resource__UI__Classmenu_CT.res` / `..._Classmenu_TER.res` ⇒ 原"不可得"判断已过期；消费方 = 差异 #36 的选兵种界面	策划/差异登记.tsv #36	—（已在盘，无需消除）
原版资源/cs16src/cs16game/app/cstrike/resource/background/800_*_loading.tga	不可得	原版主菜单 / 读条背景的 12 块 TGA 拼图（#39「已消除」所依据的载体）	12 张已逐字节复制进 client/Assets/Resources/UI/Art/（#39 已消除）；**源目录**本机不在盘 ⇒ 源引用按「载体不在盘 + 期望位置」留账	策划/差异登记.tsv #39；client/Assets/Resources/UI/Art/ 内的 12 张副本	需要重新核对拼图时从公开 repack 的 cstrike/resource/background/ 取回
原版资源/cs16src/cs16game/app/platform/resource/trackerscheme.res	不可得	原版 VGUI tracker 方案（MenuItemHeight / GameMenuInset，#40 的摆法出处）	本机不在盘（实测 Test-Path False；原版资源/ 实测无 platform/）	策划/差异登记.tsv #40	拿到含 platform/resource/ 的原版客户端后按原样引用
